date,II/112/1,II/113/1,II/114/1,II/131/1,II/132/1,II/292/1,II/297/1,II/298/1,II/472/1,II/924/1,II/931/1,II/949/1,II/951/1,II/952/1,II/957/1,II/1345/1,II/1346/1,II/1351/1,II/1352/1
2022-04-03,10.13,32.08,30.38,17.63,49.56,12.64,5.43,36.31,,8.17,4.11,16.28,6.39,3.73,1.02,3.24,38.79,2.18,15.53
2022-04-10,10.13,32.08,30.39,17.55,49.54,12.63,5.29,36.35,,8.18,4.09,16.28,6.36,3.75,1.02,3.21,38.8,2.08,15.46
2022-04-17,10.12,32.05,30.37,17.4,49.49,12.64,5.23,36.45,,8.2,4.08,16.27,6.35,3.74,1.0,3.2,38.81,2.08,15.44
2022-04-24,10.12,32.01,30.31,17.42,49.4,12.63,5.25,36.3,,8.21,4.07,16.27,6.32,3.75,1.01,3.23,38.78,2.13,15.41
2022-05-01,10.11,31.97,30.43,17.5,49.44,12.61,5.31,36.26,,8.21,4.08,16.27,6.39,3.7,1.02,3.2,38.8,2.18,15.39
2022-05-08,10.11,32.01,30.42,17.56,49.51,12.61,5.38,36.34,,8.18,4.08,16.26,6.44,3.75,1.03,3.27,38.79,2.26,15.42
2022-05-15,10.12,32.03,30.45,17.65,49.58,12.58,5.48,36.3,,8.15,4.09,16.26,6.46,3.8,1.04,3.31,38.79,2.34,15.44
2022-05-22,10.13,32.07,30.49,17.74,49.65,12.58,5.59,36.33,,8.12,4.11,16.26,6.53,3.85,1.06,3.33,38.8,2.41,15.49
2022-05-29,10.13,32.1,30.49,17.81,49.73,12.58,5.64,36.31,,8.08,4.12,16.26,6.59,3.9,1.07,3.34,38.8,2.44,15.51
2022-06-05,10.12,32.15,30.46,17.84,49.76,12.5,5.63,36.33,,8.07,4.12,16.26,6.56,3.9,1.06,3.37,38.82,2.42,15.45
2022-06-12,10.11,32.06,30.49,17.82,49.79,12.5,5.54,36.34,,8.08,4.09,16.26,6.61,3.92,1.07,3.32,38.82,2.39,15.45
2022-06-19,10.12,32.09,30.51,17.65,49.7,12.58,5.4,36.39,,8.07,4.07,16.26,6.63,3.85,0.88,3.3,38.82,2.32,15.44
2022-06-26,10.13,32.05,30.53,17.57,49.48,12.61,5.46,36.31,,8.06,4.09,16.26,6.68,3.87,0.94,3.28,38.82,2.41,15.45
2022-07-03,10.13,32.06,30.6,17.75,49.69,12.6,5.63,36.37,,8.04,4.12,16.26,6.72,3.89,0.98,3.35,38.82,2.51,15.47
2022-07-10,10.14,32.09,30.63,17.86,49.79,12.6,5.74,36.36,,8.02,4.16,16.26,6.8,3.92,1.01,3.38,38.83,2.56,15.5
2022-07-17,10.15,32.12,30.69,17.89,49.85,12.63,5.8,36.38,,8.0,4.15,16.26,6.84,3.95,1.03,3.41,38.84,2.59,15.52
2022-07-24,10.16,32.16,30.65,17.91,49.88,12.63,5.91,36.43,,7.97,4.17,16.26,7.06,3.98,1.05,3.45,38.85,2.63,15.54
2022-07-31,10.16,32.19,30.69,17.96,49.93,12.63,5.99,36.34,,7.96,4.18,16.26,6.94,4.0,1.07,3.48,38.86,2.65,15.59
2022-08-07,10.14,32.19,30.63,17.63,49.83,12.65,5.99,36.37,,7.94,4.16,16.26,6.97,3.93,1.0,3.46,38.88,2.61,15.58
2022-08-14,10.13,32.2,30.56,17.78,49.8,12.65,6.05,36.44,,7.93,4.18,16.27,6.93,3.95,1.04,3.49,38.86,2.55,15.64
2022-08-21,10.12,32.14,30.6,17.86,49.83,12.67,6.1,36.35,,7.92,4.18,16.26,6.92,3.96,1.06,3.51,38.85,2.61,15.62
2022-08-28,10.11,32.14,30.58,17.87,49.88,12.69,5.97,36.4,,7.9,4.16,16.25,6.9,3.95,1.08,3.47,38.85,2.51,15.66
2022-09-04,10.12,32.14,30.52,17.85,49.84,12.71,5.92,36.42,,7.88,4.18,16.25,6.87,3.9,1.01,3.44,38.86,2.52,15.61
2022-09-11,10.13,32.12,30.53,17.92,49.91,12.71,5.95,36.56,,7.88,4.18,16.25,6.94,3.93,1.05,3.47,38.85,2.55,15.63
2022-09-18,10.13,32.06,30.55,17.86,49.89,12.73,5.86,36.48,,7.9,4.17,16.25,7.01,3.92,1.07,3.48,38.86,2.49,15.62
2022-09-25,10.12,31.98,30.45,17.72,49.77,12.74,5.86,36.49,,7.91,4.18,16.25,7.05,3.9,1.08,3.47,38.87,2.48,15.64
2022-10-02,10.11,32.03,30.43,17.75,49.76,12.73,5.84,36.45,,7.92,4.17,16.25,6.97,3.94,1.08,3.47,38.87,2.47,15.69
2022-10-09,10.12,32.03,30.51,17.77,49.78,12.76,5.81,36.5,,7.91,4.18,16.25,7.0,3.9,0.99,3.46,38.88,2.45,15.67
2022-10-16,10.11,32.05,30.51,17.81,49.82,12.76,5.84,36.55,,7.89,4.18,16.26,7.03,3.87,1.01,3.45,38.88,2.49,15.66
2022-10-23,10.11,32.03,30.55,17.86,49.84,12.78,5.9,36.55,,7.86,4.18,16.26,7.07,3.82,1.04,3.47,38.89,2.53,15.69
2022-10-30,10.12,32.01,30.49,17.92,49.91,12.79,5.94,36.56,,7.87,4.19,16.27,7.1,3.8,1.06,3.49,38.89,2.54,15.7
2022-11-06,10.11,32.05,30.46,17.93,49.94,12.82,5.95,36.56,,7.88,4.19,16.27,7.08,3.81,1.07,3.5,38.9,2.55,15.69
